Match ID,Blue Win,First Blood,First Dragon,First Rift Herald,First Tower,Blue kills,Red kills,Blue assists,Red assists,Blue gold,Red gold,Gold Diff,Blue towers,Red towers,Blue xp,Red xp
4040546943,False,True,True,NA,NA,7,13,5,15,17473,19429,-1956,0,0,17399,18459
4040513820,True,False,True,False,NA,9,3,13,3,19795,15428,4367,0,0,19890,17007
4040500229,False,False,False,NA,NA,5,6,2,3,16763,16523,240,0,0,19334,18924
4040409273,True,False,False,False,NA,9,5,13,5,18461,16528,1933,0,0,18941,17422
4040406520,False,True,True,False,Red,5,6,7,9,17820,17435,385,0,1,17678,16157
4039515344,False,False,False,True,NA,6,8,7,7,16318,17650,-1332,0,0,17065,18223
4039511183,True,True,NA,NA,NA,12,9,11,7,18090,18586,-496,0,0,18189,17845
4039268600,False,False,False,True,NA,6,7,4,11,15908,17755,-1847,0,0,17348,17709
4039276254,True,False,False,NA,Blue,8,3,11,5,19213,15074,4139,1,0,18455,16866
4032556733,True,False,NA,NA,NA,14,6,22,7,20187,16046,4141,0,0,18367,16677
4032581427,False,True,NA,NA,NA,10,7,15,10,18370,17145,1225,0,0,18308,17519
4032409462,True,True,True,True,NA,8,5,10,8,17815,15888,1927,0,0,18374,17128
4032425709,True,True,True,NA,NA,9,6,9,8,18020,17183,837,0,0,18409,17846
4026770050,False,False,NA,False,NA,9,5,8,7,18181,16012,2169,0,0,20624,17274
4025868205,False,True,False,True,NA,7,7,12,9,16682,17402,-720,0,0,16375,17561
4023712246,False,False,False,NA,NA,5,10,8,11,16127,18733,-2606,0,0,16976,19207
4023709815,False,False,NA,NA,NA,1,6,0,6,14319,16919,-2600,0,0,17803,19016
4044129380,False,False,False,NA,NA,11,13,14,9,17790,18602,-812,0,0,16442,18337
4044086241,False,False,NA,NA,NA,9,11,10,16,18535,19390,-855,0,0,17909,18280
4043353455,False,True,NA,NA,NA,12,9,20,8,18207,18405,-198,0,0,17649,18162
4040569902,True,False,True,NA,NA,7,2,5,1,16656,16252,404,0,0,18915,19038
4038001851,False,False,NA,True,NA,1,3,1,2,14553,16653,-2100,0,0,18924,18577
4035894196,True,False,NA,True,NA,9,8,12,9,17446,16320,1126,0,0,17471,16233
4035576054,True,False,True,NA,NA,10,7,18,7,19315,16634,2681,0,0,18807,17425
4035553859,False,True,True,False,NA,7,8,5,6,16626,16721,-95,0,0,17317,17208
4035464810,True,False,True,False,NA,9,8,13,4,17614,15997,1617,0,0,17586,16895
4034809690,True,True,True,NA,NA,10,4,9,5,18476,15769,2707,0,0,19743,17356
4034852889,True,False,NA,NA,NA,9,12,14,14,17880,18622,-742,0,0,17589,18302
4034718637,True,True,True,True,NA,8,7,4,8,16896,16296,600,0,0,17931,16843
4034704244,False,False,NA,NA,NA,7,7,9,15,16111,16826,-715,0,0,16740,17392
4034596747,True,True,NA,NA,NA,7,4,11,4,17792,16361,1431,0,0,18858,19001
4034524726,False,False,NA,NA,NA,9,6,7,6,17923,16453,1470,0,0,19615,16734
4034395572,True,True,True,NA,NA,7,5,8,9,16989,16624,365,0,0,18293,18396
4029392113,True,False,NA,False,NA,6,7,7,9,15732,17125,-1393,0,0,17725,17738
4043263454,True,True,True,False,NA,2,4,2,5,15765,16017,-252,0,0,17767,18051
4043261642,False,False,False,True,NA,3,7,1,8,15810,17605,-1795,0,0,19013,19521
4043159411,True,False,NA,NA,NA,3,7,2,13,14339,16727,-2388,0,0,16076,17879
4043195455,True,False,False,True,NA,3,3,3,2,15251,15256,-5,0,0,18096,18715
4042955971,True,False,NA,False,NA,5,4,2,3,16532,16181,351,0,0,20096,18884
4042981829,False,True,True,False,NA,1,4,0,6,14133,17141,-3008,0,0,15728,19015
4042898202,True,False,True,NA,NA,12,9,15,11,17806,17054,752,0,0,18112,17441
4042910587,True,False,NA,NA,NA,8,4,13,5,17847,16083,1764,0,0,19418,17739
4042816894,False,False,False,NA,NA,7,9,9,7,15361,17696,-2335,0,0,15794,18391
4042821244,True,True,False,True,NA,3,10,3,16,16725,18091,-1366,0,0,17723,18506
4042736197,True,False,NA,NA,NA,8,9,7,16,17585,17960,-375,0,0,18862,17822
